Código,Título,DataHoraDOM,cod_registro_info_sfinge,Município,Entidade,CategoriaDOM,Modalidade,Nr.Modalidade,Objeto,Justificativa,Data Abertura,Informacoes,Signatário,Cargo do Signatário
6611928,ERRATA Nº 001 - PE Nº 155/2024/SMS,2024-11-12 17:43:19,01A844BB11CE682547D615CA1F6A386E150DE5EF,Palhoça,Prefeitura Municipal de Palhoça,Licitações,Pregão Eletrônico ,nº 155/2024/SMS,"aquisição de 01 (UM) veículo tipo pickup com tração 4X4, para uso no SAMU, vinculado a Secretaria Municipal de Saúde do município de Palhoça",Alteração no Termo de Referência (Anexo II),28/11/2024 às 09h00min,"Setor de Licitações da Prefeitura, http://palhoca.atende.net;https://www.portaldecompraspublicas. com.br/, cplpalhoca@gmail.com, (48) 3220-0300 ramais 1733 ou 1804",EDUARDO FRECCIA ,Prefeito Municipal
6611484,TERMO DE HOMOLOGAÇÃO PL 180-2024 CE 05-2024 - PASSEIO PÚBLICO,2024-11-12 16:05:39,NULL,Ipumirim,Prefeitura Municipal de Ipumirim,Licitações,Concorrência por Menor Preço,180/2024,Execução de passeio público as margens da SC-154 – km 89 e 90,NULL,NULL,NULL,Hilario Reffatti,Autoridade Competente
6611505,PL 180-2024- AUTORIZAÇÃO,2024-11-12 16:10:10,NULL,Ipumirim,Prefeitura Municipal de Ipumirim,Licitações,Concorrência Eletrônica,nº 180/2024,"Execução de passeio público as margens da SC-154, quilômetros 89 e 90, acesso sul do município de Ipumirim/SC",NULL,NULL,NULL,HILARIO REFFATTI,Prefeito Municipal de Ipumirim
6613133,PROCESSO DE LICITAÇÃO Nº. 131/2024 DISPENSA Nº. 39/2024,2024-11-12 22:56:16,NULL,Arabutã,Prefeitura Municipal de Arabutã,Licitações,DISPENSA ELETRÔNICA,Nº. 39/2024,Contratação de uma empresa especializada para fornecer um COMPUTADOR ESTAÇÃO DE TRABALHO AVANÇADA E LICENÇA DO WINDOWS SERVER 2022 STANDARD COA.,"ESSES ITENS VISAM MODERNIZAR A INFRAESTRUTURA TECNOLÓGICA DA POLÍCIA MILITAR, melhorando a eficiência de suas operações diárias e garantindo a segurança da comunidade.",11/11/2024,"nos termos da Lei nº 14.133, de 2021, pelo e-mail licitacoes@arabuta.sc.gov.br",Olguin Ricardo Metz,Prefeito em Exercício
6611976,PROCESSO LICITATÓRIO 85.2024 - PREGÃO ELETRÔNICO 22.2024,2024-11-12 17:59:35,86F67436F8FD043AEB5032C6AD2AC7C8B5664376,São Bonifácio,Prefeitura municipal de São Bonifácio,Licitações,Pregão Eletrônico ,22/2024,Contratação de Empresa para Fornecimento de Moveis Expositores para o Museu Historico Professor Francisco Serafim Guilherme Schaden,NULL,às 14:00 horas do dia 26/11/2024,"Maiores informações poderão ser obtidas junto ao Departamento de Compras e Licitações da Prefeitura sito à Avenida 29 de Dezembro, 12 – Centro – SC, pelo fone (48) 3252-0111 ou pelo e-mail:\n licitacaoecomprassaobonifacio@gmail.com",Laurino Peters,Prefeito Municipal
6611707,EXTRATO - AVISO DE DISPENSA DE LICITAÇÃO Nº 0019 - PAL 0111_2024 - E,2024-11-12 16:48:26,NULL,Florianópolis,CINCATARINA - Consórcio Interfederativo Santa Catarina,Licitações,Dispensa de Licitação,Nº 0019/2024,"Contratação direta por dispensa de licitação, para contratar empresa especializada na organização de eventos para integração das entidades do Sistema FECAM, quais sejam CINCATARINA, CIGA, ARIS, EGEM e FECAM , com locação de espaço, incluindo som, luz, projeção e alimentação (um coffee break e um coquetel) para aproximadamente 170 pessoas, a ser realizado no dia 21 de novembro de 2024, no Hotel Favorita, em São José/SC.",NULL,NULL,NULL,André Luiz de Oliveira,Diretor Executivo
6611530,EXTRATO DE CHAMAMENTO Nº 77/2024,2024-11-12 16:19:52,NULL,Lontras,Prefeitura municipal de Lontras,Licitações,CHAMAMENTO PÚBLICO,77/2024,"CHAMAMENTO PÚBLICO PARA AUTORIZAÇÃO DE USO DE ESPAÇO PÚBLICO PARA A INSTALAÇÃO DE BARRACAS PARA VENDA DE GÊNEROS ALIMENTÍCIOS E BEBIDAS PARA O EVENTO NATAL NA PRAÇA, QUE SERÁ REALIZADO NO DIA 06/12/2024.",NULL,13/11/2024,Entrega dos Envelopes: a partir do dia 13/11/2024 até às 17:00 horas do dia 27/11/2024. Maiores Informações junto ao Setor de Licitações pelo Telefone/WhatsApp 3523-9402 ou site lontras.atende.net.,MARCIONEI HILLESHEIM,Prefeito
6611475,EXTRATO DO TERCEIRO TERMO ADITIVO AO CONTRATO N° 10/2024 - PMG,2024-11-12 16:08:00,NULL,Guaramirim,Prefeitura municipal de Guaramirim,Licitações,DISPENSA,Nº 10/2024,DISPENSA EMERGENCIAL DE CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO DE SERVIÇOS TERCEIRIZADOS E APOIO ÀS ATIVIDADES OPERACIONAIS E ADMINISTRATIVAS DO MUNICÍPIO DE GUARAMIRIM.,prorrogar o prazo de vigência do contrato,NULL,"Contratante: \n MUNICÍPIO DE GUARAMIRIM, pessoa jurídica de direito público interno, inscrita no CNPJ sob o nº 83.102.475/0001-16, com sede na Rua 28 de Agosto, nº 2042, bairro Centro, em Guaramirim, Santa Catarina, CEP 89.270-000.Contratada: ORBENK ADMINISTRAÇÃO E SERVIÇOS LTDA, pessoa jurídica de direito privado, inscrita no CNPJ sob o nº 79.283.065/0001-41 e Inscrição Estadual nº 251310469, estabelecida na Rua Dona Leopoldina, nº 26, bairro Centro, município de Joinville, estado de Santa Catarina, CEP 89.201-090.\n",OSVALDO DEVIGILI,PREFEITO MUNICIPAL
6611572,TERMO DE HOMOLOGAÇAO DISPENSA 128/2024,2024-11-12 16:30:10,CB77A86BC825EFA8CECD99DBEFEC3AB65972221F,Vitor Meireles,Prefeitura municipal de Vitor Meireles,Licitações,Dispensa de Licitação,128/2024,SERVICO DE LIMPEZA,NULL,NULL,NULL,IVANOR BOING,Prefeito
6611428,EDITAL 33/2024 - CONCORRENCIA 1/2024,2024-11-12 16:06:40,A6EA5D5DE25E4958826AB900C6B6CBA9AF26191B,Turvo,Câmara de Vereadores de Turvo,Licitações,CONCORRÊNCIA ELETRONICA,N º 01/2024,O objeto da presente licitação é a seleção da proposta apta a gerar o resultado mais vantajoso para a Câmara de Vereadores visando a CONSTRUÇÃO DO ESTACIONAMENTO DA CÂMARA MUNICIPAL DE VEREADORES DE TURVO/SC E ADEQUAÇÕES NECESSÁRIAS PARA ACESSIBILIDADE,NULL,28/11/2024. Horário: 09h00.,"Maiores informações no Setor de Licitações na Câmara Municipal de Vereadores de Turvo/SC, sito à Avenida Municial, nº 2547, Cidade Alta, Turvo/SC, no horário de atendimento das 8h00min às 11h30min e das 13h30min às 17h00min de segunda à sexta-feira, pelo tel. (48) 3525-0491 ou através do e-mail: camturvo@gmail.com",Luiz Lucinei Vitto,Presidente da Câmara de Vereadores.
